Product,Price 2019,Price 2020,Price 2021,Price 2022,Price 2023,Currency,Country
Apples (1kg),4.39,4.55,4.73,5.22,5.75,$,USA
Oranges (1kg),3.20,3.31,3.45,3.80,4.19,$,USA
Raspberries (1kg),22.28,23.08,24.02,26.51,29.20,$,USA
Pear (1kg),3.80,3.94,4.10,4.52,4.98,$,USA
Red Plum (1kg),6.87,7.12,7.40,8.17,9.00,$,USA
White Peach (1kg),7.63,7.91,8.23,9.08,10.00,$,USA
Bananas (1kg),1.23,1.27,1.32,1.46,1.61,$,USA
Beef (1kg) ,11.95,12.38,12.88,14.54,15.21,$,USA
Lamb (1kg),14.12,14.64,15.23,17.19,17.98,$,USA
Pork (1kg),11.84,12.27,12.76,14.41,14.00,$,USA
Meat of chickens (1kg),9.39,9.73,10.12,11.43,11.99,$,USA
Bread (1kg),3.92,4.07,4.23,5.06,5.25,$,USA
Milk  (1 l),0.77,0.80,0.83,0.99,1.03,$,USA
Rice (white). (1kg),3.57,3.70,3.85,4.35,4.56,$,USA
Egg,0.14,0.14,0.15,0.24,0.36,$,USA
Local Cheese (1kg),10.19,10.56,10.99,12.41,12.87,$,USA
Tomato (1kg),3.52,3.64,3.79,4.19,4.61,$,USA
Potato (1kg),2.30,2.38,2.48,2.73,3.01,$,USA
Onion (1kg),2.30,2.38,2.48,2.73,3.01,$,USA
Lettuce (1 head),1.64,1.70,1.77,1.95,2.15,$,USA
Broccoli (1kg),5.94,6.15,6.40,7.06,7.78,$,USA
Red Bell Pepper (1kg),6.09,6.31,6.56,7.25,7.98,$,USA
Eggplant (1kg),2.73,2.83,2.95,3.25,3.58,$,USA
Cabbage (1kg) ,2.27,2.36,2.45,2.71,2.98,$,USA
Potato (1kg),3.80,3.94,4.10,4.52,4.98,$,USA
